;Référence;Réf. Fournisseur;Fournisseur;Marque;Désignation;Quantités
1;04AG0055;4002006;WINTERHALTER;WINTERHALTER;Tuyau 50x8 OU durite de lavage Px au centimetre;200
2;15AU0002;719.388.833;FRANKE;ANSUL;Fusible 74 ° C (friteuse) ANSUL;83
3;15AU0040;384.576;FRANKE;ANSUL;Fusible 182 ° rouge ANSUL;33
4;15AU0004;719.389.827;FRANKE;ANSUL;Fusible test ansul;29
5;15AU0001;384.364;FRANKE;ANSUL;Fusible 138°C ANSUL;21
6;02AB0186;20024298;REFLEX SERVICE;TAYLOR;Vis chassi 10-32 x 3/8;20
7;330105;0766C50;TCA;;Couronne 50 H07 Rnf 3G2.5 ( au mètre);11
8;15AU0003;719.388.837;FRANKE;;Chappe de buse Ansul;10
9;17AW0002;AN3.08P.101;FRANKE;ANTUNES;Ecrou  8_32  (Pqt 15);10
10;330011;385.641;FRANKE;FRANKE;Prise mâle IP44 230V/16A/3P;8
11;340006;845145;FRITEC;;Fréon R134A;7,8
12;340023;866243;FRITEC;DIVERS FROID;Vanne Shrader A Souder 1/4;7
13;02AB0194;20052562;REFLEX SERVICE;TAYLOR;Raccord en Té d'air pour grill;6
14;15AU0005;719.388.848;FRANKE;ANSUL;Disque De Rupture  Petit ANSUL;6
15;15AU0064;368.856;FRANKE;ANSUL;Chappe de buse inox;6
16;01AB0176;20041575;REFLEX SERVICE;TAYLOR;Courroie AX31 shake ( après J8040);5
17;02AB0102;20072695-6;REFLEX SERVICE;TAYLOR;Coude d'air 1/4 grill C834-C844;5
18;02AB0121;20079745-R;REFLEX SERVICE;TAYLOR;Courroie longue (sangle);5
19;05AI0066;719.390.123;FRANKE;FRANKE;Ressort clapet pour F3DN;5
20;16AV0005;PC7.823.3S;FRANKE;PRINCE CASTLE;Interrupteur Vert A Bouscule M/A 20A;5
21;17AV0069;6022295;FRANKE;ANTUNES;Vis ( paquet de 10) vendu à l unité;5
22;01AB0027;20062191-7;REFLEX SERVICE;TAYLOR;Courroie longue shake C602;4
23;01AB0029;20062191-6;REFLEX SERVICE;TAYLOR;Courroie agitateur courte;4
24;01AB0129;20011694;REFLEX SERVICE;TAYLOR;Vis 1/7 - 20 x 3/8;4
25;01AB0149;20025729;REFLEX SERVICE;TAYLOR;Courroies AX34 soft;4
26;02AB0039;20079745-F;REFLEX SERVICE;TAYLOR;Sangles courtes grill 34;4
