Reference codial;Fournisseur;Machine;Marque;Materiel;Reference;Denomination;Debut;Entrees;Sorties;StockFin;Minimum
04AG0055;WINTERHALTER;;WINTERHALTER;;4002006;Tuyau 50x8 OU durite de lavage Px au centimetre;;;;;
15AU0002;FRANKE;;ANSUL;;719.388.833;Fusible 74 ° C (friteuse) ANSUL;;;;;
15AU0040;FRANKE;;ANSUL;;384.576;Fusible 182 ° rouge ANSUL;;;;;
15AU0004;FRANKE;;ANSUL;;719.389.827;Fusible test ansul;;;;;
15AU0001;FRANKE;;ANSUL;;384.364;Fusible 138°C ANSUL;;;;;
02AB0186;REFLEX SERVICE;;TAYLOR;;20024298;Vis chassi 10-32 x 3/8;;;;;
330105;TCA;;;;0766C50;Couronne 50 H07 Rnf 3G2.5 ( au mètre);;;;;
15AU0003;FRANKE;;;;719.388.837;Chappe de buse Ansul;;;;;
17AW0002;FRANKE;;ANTUNES;;AN3.08P.101;Ecrou  8_32  (Pqt 15);;;;;
330011;FRANKE;;FRANKE;;385.641;Prise mâle IP44 230V/16A/3P;;;;;
340006;FRITEC;;;;845145;Fréon R134A;;;;;
340023;FRITEC;;DIVERS FROID;;866243;Vanne Shrader A Souder 1/4;;;;;
02AB0194;REFLEX SERVICE;;TAYLOR;;20052562;Raccord en Té d'air pour grill;;;;;
15AU0005;FRANKE;;ANSUL;;719.388.848;Disque De Rupture  Petit ANSUL;;;;;
15AU0064;FRANKE;;ANSUL;;368.856;Chappe de buse inox;;;;;
01AB0176;REFLEX SERVICE;;TAYLOR;;20041575;Courroie AX31 shake ( après J8040);;;;;
02AB0102;REFLEX SERVICE;;TAYLOR;;20072695-6;Coude d'air 1/4 grill C834-C844;;;;;
02AB0121;REFLEX SERVICE;;TAYLOR;;20079745-R;Courroie longue (sangle);;;;;
05AI0066;FRANKE;;FRANKE;;719.390.123;Ressort clapet pour F3DN;;;;;
16AV0005;FRANKE;;PRINCE CASTLE;;PC7.823.3S;Interrupteur Vert A Bouscule M/A 20A;;;;;
17AV0069;FRANKE;;ANTUNES;;6022295;Vis ( paquet de 10) vendu à l unité;;;;;
01AB0027;REFLEX SERVICE;;TAYLOR;;20062191-7;Courroie longue shake C602;;;;;
01AB0029;REFLEX SERVICE;;TAYLOR;;20062191-6;Courroie agitateur courte;;;;;
01AB0129;REFLEX SERVICE;;TAYLOR;;20011694;Vis 1/7 - 20 x 3/8;;;;;
01AB0149;REFLEX SERVICE;;TAYLOR;;20025729;Courroies AX34 soft;;;;;
02AB0039;REFLEX SERVICE;;TAYLOR;;20079745-F;Sangles courtes grill 34;;;;;
02AB0085;REFLEX SERVICE;;TAYLOR;;20050869-27;Relais 4 pôles 40A-240V bobine - contacteur;;;;;
02AB0098;REFLEX SERVICE;;TAYLOR;;20072458;Cablette;;;;;
07AK0001;FRANKE;;;;719.385.360;Fusible 20A HLZ;;;;;
